Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,15513.129883,15685.400391,15512.360352,15567.360352,15567.360352,56073600
2021-06-02,15570.769531,15631.019531,15554.019531,15602.709961,15602.709961,51678400
2021-06-03,15591.540039,15657.150391,15477.320313,15632.669922,15632.669922,45339500
2021-06-04,15651.690430,15705.889648,15607.919922,15692.900391,15692.900391,44669100
